,word,word_count,count_per_10posts
7,historic,296,8.554913294797688
10,private,270,7.803468208092486
12,central,254,7.341040462427745
51,amenities,153,4.421965317919075
55,art,151,4.364161849710983
63,security,147,4.2485549132947975
159,restaurants,121,3.4971098265895955
174,gated,108,3.121387283236994
239,stadium,75,2.167630057803468
257,bars,67,1.9364161849710981
348,walk,46,1.329479768786127
400,coming,42,1.2138728323699421
508,modern,34,0.9826589595375723
604,unique,28,0.8092485549132948
608,hip,28,0.8092485549132948
706,quirky,21,0.6069364161849711
757,walking,19,0.5491329479768786
802,affordable,17,0.49132947976878616
846,diverse,15,0.43352601156069365
892,lounge,14,0.4046242774566474
1208,cultural,8,0.23121387283236994
1216,character,8,0.23121387283236994
1377,prime,6,0.17341040462427743
1523,luxurious,5,0.1445086705202312
1536,safe,4,0.11560693641618497
1703,charming,4,0.11560693641618497
1940,accessible,3,0.08670520231213871
2001,walkable,3,0.08670520231213871
2398,vibe,2,0.057803468208092484
